time,signal
12.0,90
12.00833,90
12.01667,91
12.025,91
12.03333,91
12.04167,91
12.05,91
12.05833,91
12.06667,91
12.075,91
12.08333,90
12.09167,90
12.1,90
12.10833,90
12.11667,90
12.125,90
12.13333,90
12.14167,91
12.15,91
12.15833,91
12.16667,92
12.175,92
12.18333,92
12.19167,93
12.2,93
12.20833,93
12.21667,93
12.225,93
12.23333,93
12.24167,93
12.25,93
12.25833,93
12.26667,93
12.275,93
12.28333,93
12.29167,93
12.3,93
12.30833,93
12.31667,93
12.325,93
12.33333,93
12.34167,94
12.35,94
12.35833,94
12.36667,93
12.375,93
12.38333,92
12.39167,92
12.4,93
12.40833,93
12.41667,93
12.425,94
12.43333,94
12.44167,94
12.45,94
12.45833,94
12.46667,93
12.475,93
12.48333,93
12.49167,94
12.5,93
12.50833,93
12.51667,94
12.525,94
12.53333,94
12.54167,94
12.55,94
12.55833,93
12.56667,94
12.575,94
12.58333,94
12.59167,94
12.6,94
12.60833,94
12.61667,94
12.625,95
12.63333,95
12.64167,95
12.65,95
12.65833,95
12.66667,95
12.675,95
12.68333,95
12.69167,95
12.7,95
12.70833,95
12.71667,95
12.725,95
12.73333,95
12.74167,96
12.75,96
12.75833,96
12.76667,97
12.775,97
12.78333,97
12.79167,97
12.8,97
12.80833,97
12.81667,97
12.825,97
12.83333,97
12.84167,97
12.85,98
12.85833,98
12.86667,98
12.875,98
12.88333,98
12.89167,98
12.9,98
12.90833,98
12.91667,98
12.925,99
12.93333,99
12.94167,99
12.95,99
12.95833,99
12.96667,99
12.975,99
12.98333,99
12.99167,99
13.0,99
13.00833,99
13.01667,99
13.025,99
13.03333,99
13.04167,99
13.05,99
13.05833,99
13.06667,99
13.075,99
13.08333,99
13.09167,99
13.1,99
13.10833,99
13.11667,99
13.125,99
13.13333,99
13.14167,99
13.15,99
13.15833,99
13.16667,98
13.175,98
13.18333,98
13.19167,98
13.2,99
13.20833,99
13.21667,100
13.225,100
13.23333,101
13.24167,101
13.25,102
13.25833,102
13.26667,103
13.275,105
13.28333,106
13.29167,108
13.3,109
13.30833,111
13.31667,113
13.325,115
13.33333,118
13.34167,120
13.35,123
13.35833,126
13.36667,130
13.375,134
13.38333,138
13.39167,142
13.4,147
13.40833,152
13.41667,158
13.425,164
13.43333,171
13.44167,177
13.45,184
13.45833,192
13.46667,199
13.475,207
13.48333,214
13.49167,222
13.5,230
13.50833,239
13.51667,247
13.525,255
13.53333,263
13.54167,271
13.55,279
13.55833,287
13.56667,295
13.575,302
13.58333,309
13.59167,316
13.6,322
13.60833,328
13.61667,334
13.625,339
13.63333,344
13.64167,349
13.65,353
13.65833,356
13.66667,359
13.675,361
13.68333,363
13.69167,364
13.7,365
13.70833,365
13.71667,365
13.725,364
13.73333,362
13.74167,361
13.75,359
13.75833,356
13.76667,352
13.775,349
13.78333,345
13.79167,340
13.8,336
13.80833,330
13.81667,325
13.825,319
13.83333,313
13.84167,307
13.85,301
13.85833,295
13.86667,288
13.875,282
13.88333,275
13.89167,269
13.9,262
13.90833,256
13.91667,249
13.925,242
13.93333,235
13.94167,229
13.95,223
13.95833,216
13.96667,210
13.975,204
13.98333,199
13.99167,194
14.0,188
14.00833,183
14.01667,178
14.025,174
14.03333,169
14.04167,165
14.05,160
14.05833,156
14.06667,153
14.075,149
14.08333,146
14.09167,142
14.1,140
