time,signal
12.0,-21
12.00833,-21
12.01667,-21
12.025,-21
12.03333,-20
12.04167,-20
12.05,-19
12.05833,-19
12.06667,-18
12.075,-18
12.08333,-17
12.09167,-17
12.1,-17
12.10833,-17
12.11667,-17
12.125,-17
12.13333,-17
12.14167,-17
12.15,-17
12.15833,-17
12.16667,-17
12.175,-17
12.18333,-17
12.19167,-16
12.2,-16
12.20833,-16
12.21667,-17
12.225,-17
12.23333,-17
12.24167,-17
12.25,-16
12.25833,-16
12.26667,-17
12.275,-16
12.28333,-16
12.29167,-16
12.3,-16
12.30833,-16
12.31667,-15
12.325,-16
12.33333,-16
12.34167,-15
12.35,-15
12.35833,-15
12.36667,-15
12.375,-15
12.38333,-15
12.39167,-15
12.4,-15
12.40833,-15
12.41667,-14
12.425,-14
12.43333,-14
12.44167,-14
12.45,-14
12.45833,-14
12.46667,-13
12.475,-13
12.48333,-13
12.49167,-12
12.5,-12
12.50833,-12
12.51667,-12
12.525,-13
12.53333,-13
12.54167,-13
12.55,-13
12.55833,-13
12.56667,-13
12.575,-13
12.58333,-14
12.59167,-14
12.6,-14
12.60833,-14
12.61667,-14
12.625,-14
12.63333,-14
12.64167,-13
12.65,-13
12.65833,-12
12.66667,-12
12.675,-12
12.68333,-12
12.69167,-12
12.7,-11
12.70833,-11
12.71667,-11
12.725,-11
12.73333,-11
12.74167,-12
12.75,-12
12.75833,-12
12.76667,-12
12.775,-11
12.78333,-11
12.79167,-11
12.8,-11
12.80833,-11
12.81667,-11
12.825,-11
12.83333,-11
12.84167,-11
12.85,-11
12.85833,-11
12.86667,-11
12.875,-11
12.88333,-11
12.89167,-11
12.9,-11
12.90833,-11
12.91667,-11
12.925,-12
12.93333,-11
12.94167,-11
12.95,-11
12.95833,-11
12.96667,-11
12.975,-11
12.98333,-11
12.99167,-11
13.0,-10
13.00833,-10
13.01667,-10
13.025,-10
13.03333,-10
13.04167,-10
13.05,-10
13.05833,-10
13.06667,-10
13.075,-9
13.08333,-9
13.09167,-9
13.1,-9
13.10833,-9
13.11667,-9
13.125,-9
13.13333,-9
13.14167,-9
13.15,-8
13.15833,-8
13.16667,-7
13.175,-6
13.18333,-5
13.19167,-4
13.2,-3
13.20833,-2
13.21667,0
13.225,2
13.23333,4
13.24167,7
13.25,10
13.25833,14
13.26667,18
13.275,23
13.28333,29
13.29167,36
13.3,44
13.30833,53
13.31667,63
13.325,75
13.33333,88
13.34167,103
13.35,119
13.35833,137
13.36667,157
13.375,179
13.38333,202
13.39167,227
13.4,255
13.40833,284
13.41667,315
13.425,348
13.43333,382
13.44167,418
13.45,455
13.45833,495
13.46667,535
13.475,577
13.48333,620
13.49167,664
13.5,708
13.50833,753
13.51667,798
13.525,842
13.53333,887
13.54167,931
13.55,975
13.55833,1017
13.56667,1059
13.575,1099
13.58333,1138
13.59167,1175
13.6,1210
13.60833,1243
13.61667,1273
13.625,1301
13.63333,1326
13.64167,1349
13.65,1368
13.65833,1385
13.66667,1399
13.675,1410
13.68333,1418
13.69167,1423
13.7,1424
13.70833,1423
13.71667,1419
13.725,1412
13.73333,1402
13.74167,1390
13.75,1375
13.75833,1358
13.76667,1338
13.775,1316
13.78333,1292
13.79167,1266
13.8,1238
13.80833,1209
13.81667,1177
13.825,1145
13.83333,1111
13.84167,1077
13.85,1043
13.85833,1007
13.86667,971
13.875,935
13.88333,898
13.89167,862
13.9,826
13.90833,790
13.91667,755
13.925,720
13.93333,685
13.94167,652
13.95,619
13.95833,587
13.96667,557
13.975,526
13.98333,497
13.99167,469
14.0,442
14.00833,416
14.01667,392
14.025,368
14.03333,346
14.04167,325
14.05,304
14.05833,285
14.06667,266
14.075,249
14.08333,232
14.09167,216
14.1,202
14.10833,188
14.11667,175
14.125,163
14.13333,152
14.14167,142
14.15,132
14.15833,123
14.16667,114
14.175,106
14.18333,99
14.19167,92
14.2,86
14.20833,80
14.21667,75
14.225,70
14.23333,66
14.24167,62
14.25,58
14.25833,54
14.26667,50
14.275,47
14.28333,44
14.29167,41
14.3,39
14.30833,36
14.31667,34
14.325,32
14.33333,29
14.34167,27
14.35,25
14.35833,23
14.36667,22
14.375,21
14.38333,20
14.39167,19
14.4,18
14.40833,17
14.41667,16
14.425,15
14.43333,14
14.44167,13
14.45,13
14.45833,12
14.46667,11
14.475,10
14.48333,10
14.49167,9
14.5,9
14.50833,8
14.51667,8
14.525,7
14.53333,7
14.54167,6
14.55,6
14.55833,5
14.56667,5
14.575,5
14.58333,4
14.59167,4
14.6,4
14.60833,4
14.61667,3
14.625,3
14.63333,3
14.64167,3
14.65,3
14.65833,3
14.66667,3
14.675,3
14.68333,2
14.69167,2
14.7,2
14.70833,1
14.71667,1
14.725,1
14.73333,0
14.74167,0
14.75,0
14.75833,1
14.76667,1
14.775,1
14.78333,0
14.79167,0
14.8,0
14.80833,0
14.81667,0
14.825,0
14.83333,0
14.84167,-1
14.85,-1
14.85833,-1
14.86667,-1
14.875,-1
14.88333,-1
14.89167,-1
14.9,-2
14.90833,-2
14.91667,-2
14.925,-2
14.93333,-3
14.94167,-3
14.95,-3
14.95833,-4
14.96667,-4
14.975,-4
14.98333,-3
14.99167,-3
15.0,-3
15.00833,-3
15.01667,-3
15.025,-3
15.03333,-3
15.04167,-4
15.05,-4
15.05833,-4
15.06667,-5
15.075,-4
15.08333,-4
15.09167,-4
15.1,-4
15.10833,-3
15.11667,-4
15.125,-4
15.13333,-4
15.14167,-4
15.15,-4
15.15833,-4
15.16667,-4
15.175,-4
15.18333,-4
15.19167,-4
15.2,-4
15.20833,-3
15.21667,-4
15.225,-4
15.23333,-4
15.24167,-4
15.25,-4
15.25833,-3
15.26667,-3
15.275,-3
15.28333,-3
15.29167,-3
15.3,-2
15.30833,-1
15.31667,0
15.325,1
15.33333,2
15.34167,4
15.35,5
15.35833,7
15.36667,9
15.375,11
15.38333,13
15.39167,16
15.4,20
15.40833,23
15.41667,26
15.425,30
15.43333,35
15.44167,39
15.45,45
15.45833,50
15.46667,56
15.475,62
15.48333,68
15.49167,75
15.5,82
15.50833,90
15.51667,98
15.525,106
15.53333,114
15.54167,122
15.55,131
15.55833,140
15.56667,149
15.575,157
15.58333,166
15.59167,174
15.6,182
15.60833,190
15.61667,198
15.625,206
15.63333,214
15.64167,221
15.65,228
15.65833,235
15.66667,241
15.675,247
15.68333,252
15.69167,257
15.7,262
15.70833,266
15.71667,270
15.725,273
15.73333,275
15.74167,277
15.75,278
15.75833,279
15.76667,279
15.775,279
15.78333,278
15.79167,276
15.8,274
15.80833,272
15.81667,269
15.825,266
15.83333,263
15.84167,259
15.85,254
15.85833,249
15.86667,244
15.875,238
15.88333,232
15.89167,226
15.9,220
15.90833,213
15.91667,206
15.925,199
15.93333,192
15.94167,185
15.95,178
15.95833,170
15.96667,163
15.975,156
15.98333,148
15.99167,141
16.0,134
