time,signal
12.0,-11
12.00833,-11
12.01667,-11
12.025,-10
12.03333,-9
12.04167,-9
12.05,-9
12.05833,-8
12.06667,-8
12.075,-9
12.08333,-9
12.09167,-9
12.1,-8
12.10833,-8
12.11667,-8
12.125,-8
12.13333,-7
12.14167,-7
12.15,-7
12.15833,-6
12.16667,-6
12.175,-6
12.18333,-6
12.19167,-6
12.2,-6
12.20833,-6
12.21667,-5
12.225,-5
12.23333,-5
12.24167,-4
12.25,-4
12.25833,-4
12.26667,-4
12.275,-4
12.28333,-4
12.29167,-4
12.3,-4
12.30833,-4
12.31667,-4
12.325,-4
12.33333,-4
12.34167,-3
12.35,-3
12.35833,-3
12.36667,-3
12.375,-3
12.38333,-3
12.39167,-2
12.4,-2
12.40833,-2
12.41667,-2
12.425,-1
12.43333,-1
12.44167,-1
12.45,-1
12.45833,-1
12.46667,-1
12.475,-1
12.48333,-1
12.49167,-2
12.5,-1
12.50833,-1
12.51667,-1
12.525,-1
12.53333,-1
12.54167,-1
12.55,-1
12.55833,-1
12.56667,-1
12.575,-1
12.58333,0
12.59167,0
12.6,0
12.60833,0
12.61667,0
12.625,0
12.63333,0
12.64167,0
12.65,-1
12.65833,-1
12.66667,-1
12.675,-1
12.68333,-1
12.69167,-1
12.7,-1
12.70833,-1
12.71667,-1
12.725,-1
12.73333,-1
12.74167,-1
12.75,-1
12.75833,-1
12.76667,-1
12.775,-1
12.78333,-1
12.79167,0
12.8,0
12.80833,0
12.81667,0
12.825,0
12.83333,0
12.84167,0
12.85,0
12.85833,0
12.86667,1
12.875,1
12.88333,1
12.89167,1
12.9,1
12.90833,1
12.91667,1
12.925,1
12.93333,1
12.94167,1
12.95,1
12.95833,1
12.96667,1
12.975,1
12.98333,2
12.99167,2
13.0,2
13.00833,2
13.01667,2
13.025,2
13.03333,2
13.04167,2
13.05,2
13.05833,2
13.06667,2
13.075,2
13.08333,2
13.09167,2
13.1,3
13.10833,4
13.11667,5
13.125,6
13.13333,7
13.14167,9
13.15,10
13.15833,13
13.16667,16
13.175,21
13.18333,26
13.19167,33
13.2,41
13.20833,51
13.21667,63
13.225,77
13.23333,94
13.24167,115
13.25,139
13.25833,167
13.26667,201
13.275,240
13.28333,286
13.29167,339
13.3,399
13.30833,468
13.31667,546
13.325,633
13.33333,731
13.34167,841
13.35,962
13.35833,1096
13.36667,1242
13.375,1402
13.38333,1577
13.39167,1765
13.4,1968
13.40833,2185
13.41667,2417
13.425,2662
13.43333,2921
13.44167,3193
13.45,3477
13.45833,3773
13.46667,4079
13.475,4394
13.48333,4718
13.49167,5049
13.5,5385
13.50833,5725
13.51667,6067
13.525,6409
