time,signal
12.0,-9
12.00833,-9
12.01667,-9
12.025,-9
12.03333,-9
12.04167,-9
12.05,-9
12.05833,-9
12.06667,-9
12.075,-8
12.08333,-8
12.09167,-7
12.1,-7
12.10833,-7
12.11667,-7
12.125,-7
12.13333,-7
12.14167,-7
12.15,-7
12.15833,-7
12.16667,-6
12.175,-6
12.18333,-6
12.19167,-6
12.2,-6
12.20833,-6
12.21667,-6
12.225,-6
12.23333,-6
12.24167,-6
12.25,-5
12.25833,-5
12.26667,-5
12.275,-5
12.28333,-4
12.29167,-4
12.3,-4
12.30833,-4
12.31667,-4
12.325,-4
12.33333,-4
12.34167,-4
12.35,-4
12.35833,-4
12.36667,-4
12.375,-4
12.38333,-4
12.39167,-4
12.4,-4
12.40833,-4
12.41667,-4
12.425,-4
12.43333,-4
12.44167,-3
12.45,-3
12.45833,-3
12.46667,-2
12.475,-2
12.48333,-2
12.49167,-2
12.5,-2
12.50833,-2
12.51667,-2
12.525,-2
12.53333,-2
12.54167,-3
12.55,-3
12.55833,-3
12.56667,-3
12.575,-3
12.58333,-3
12.59167,-3
12.6,-2
12.60833,-2
12.61667,-2
12.625,-2
12.63333,-2
12.64167,-2
12.65,-2
12.65833,-2
12.66667,-2
12.675,-2
12.68333,-2
12.69167,-2
12.7,-2
12.70833,-1
12.71667,-1
12.725,-1
12.73333,-1
12.74167,-1
12.75,0
12.75833,0
12.76667,0
12.775,0
12.78333,0
12.79167,0
12.8,0
12.80833,0
12.81667,0
12.825,0
12.83333,0
12.84167,1
12.85,1
12.85833,1
12.86667,1
12.875,1
12.88333,1
12.89167,0
12.9,0
12.90833,0
12.91667,0
12.925,0
12.93333,0
12.94167,1
12.95,1
12.95833,1
12.96667,1
12.975,1
12.98333,1
12.99167,1
13.0,1
13.00833,1
13.01667,1
13.025,1
13.03333,1
13.04167,1
13.05,1
13.05833,1
13.06667,1
13.075,1
13.08333,1
13.09167,0
13.1,1
13.10833,1
13.11667,2
13.125,2
13.13333,3
13.14167,4
13.15,5
13.15833,7
13.16667,9
13.175,11
13.18333,14
13.19167,17
13.2,21
13.20833,25
13.21667,31
13.225,38
13.23333,46
13.24167,57
13.25,69
13.25833,84
13.26667,101
13.275,121
13.28333,144
13.29167,171
13.3,202
13.30833,237
13.31667,277
13.325,321
13.33333,371
13.34167,427
13.35,488
13.35833,556
13.36667,631
13.375,713
13.38333,802
13.39167,898
13.4,1001
13.40833,1112
13.41667,1230
13.425,1355
13.43333,1487
13.44167,1626
13.45,1771
13.45833,1922
13.46667,2079
13.475,2240
13.48333,2405
13.49167,2574
13.5,2746
13.50833,2919
13.51667,3093
13.525,3267
13.53333,3441
13.54167,3614
13.55,3783
13.55833,3950
13.56667,4112
13.575,4269
13.58333,4421
13.59167,4565
13.6,4702
13.60833,4830
13.61667,4951
13.625,5061
13.63333,5162
13.64167,5252
13.65,5331
13.65833,5400
13.66667,5456
13.675,5501
13.68333,5534
13.69167,5555
13.7,5565
13.70833,5563
13.71667,5550
13.725,5526
13.73333,5491
13.74167,5445
13.75,5389
13.75833,5323
13.76667,5247
13.775,5163
13.78333,5070
13.79167,4969
13.8,4862
13.80833,4748
13.81667,4628
13.825,4504
13.83333,4376
13.84167,4244
13.85,4108
13.85833,3970
13.86667,3830
13.875,3689
13.88333,3548
13.89167,3406
13.9,3266
13.90833,3126
13.91667,2987
13.925,2851
13.93333,2717
13.94167,2585
13.95,2456
13.95833,2331
13.96667,2210
13.975,2092
13.98333,1978
13.99167,1868
14.0,1763
14.00833,1662
14.01667,1565
14.025,1472
14.03333,1383
14.04167,1299
14.05,1219
14.05833,1143
14.06667,1071
14.075,1003
14.08333,939
14.09167,878
14.1,822
14.10833,768
14.11667,718
14.125,671
14.13333,627
14.14167,587
14.15,548
14.15833,512
14.16667,479
14.175,449
14.18333,420
14.19167,393
14.2,369
14.20833,345
14.21667,324
14.225,304
14.23333,286
14.24167,269
14.25,253
14.25833,239
14.26667,225
14.275,213
14.28333,201
14.29167,190
14.3,180
14.30833,171
14.31667,162
14.325,155
14.33333,147
14.34167,141
14.35,134
14.35833,128
14.36667,123
14.375,118
14.38333,113
14.39167,108
14.4,104
14.40833,100
14.41667,96
14.425,93
14.43333,89
14.44167,86
14.45,83
14.45833,81
14.46667,78
14.475,75
14.48333,73
14.49167,71
14.5,69
14.50833,67
14.51667,65
14.525,64
14.53333,62
14.54167,60
14.55,59
14.55833,57
14.56667,56
14.575,54
14.58333,52
14.59167,51
14.6,50
14.60833,50
14.61667,49
14.625,48
14.63333,47
14.64167,46
14.65,45
14.65833,45
14.66667,44
14.675,43
14.68333,42
14.69167,41
14.7,41
14.70833,40
14.71667,39
14.725,39
14.73333,38
14.74167,37
14.75,37
14.75833,36
14.76667,36
14.775,35
14.78333,35
14.79167,34
14.8,33
14.80833,33
14.81667,32
14.825,32
14.83333,32
14.84167,31
14.85,31
14.85833,30
14.86667,30
14.875,30
14.88333,30
14.89167,29
14.9,29
14.90833,29
14.91667,29
14.925,28
14.93333,28
14.94167,28
14.95,28
14.95833,28
14.96667,27
14.975,27
14.98333,27
14.99167,26
15.0,25
15.00833,25
15.01667,24
15.025,24
15.03333,24
15.04167,24
15.05,24
15.05833,23
15.06667,23
15.075,23
15.08333,23
15.09167,22
15.1,22
15.10833,22
15.11667,22
15.125,22
15.13333,22
15.14167,22
15.15,22
15.15833,21
15.16667,21
15.175,21
15.18333,21
15.19167,21
15.2,21
15.20833,21
15.21667,21
15.225,21
15.23333,21
15.24167,21
15.25,22
15.25833,22
15.26667,23
15.275,23
15.28333,24
15.29167,25
15.3,27
15.30833,29
15.31667,31
15.325,33
15.33333,36
15.34167,39
15.35,43
15.35833,48
15.36667,53
15.375,58
15.38333,64
15.39167,71
15.4,79
15.40833,87
15.41667,96
15.425,107
15.43333,118
15.44167,130
15.45,143
15.45833,157
15.46667,172
15.475,188
15.48333,205
15.49167,222
15.5,240
15.50833,259
15.51667,279
15.525,299
15.53333,320
15.54167,341
15.55,363
15.55833,385
15.56667,407
15.575,429
15.58333,452
15.59167,474
15.6,496
15.60833,517
15.61667,537
15.625,557
15.63333,577
15.64167,595
15.65,613
15.65833,630
15.66667,646
15.675,662
15.68333,676
15.69167,689
15.7,701
15.70833,711
15.71667,721
15.725,728
15.73333,735
15.74167,740
15.75,744
15.75833,746
15.76667,747
15.775,747
15.78333,746
15.79167,743
15.8,738
15.80833,733
15.81667,725
15.825,717
15.83333,708
15.84167,698
15.85,686
15.85833,674
15.86667,660
15.875,646
15.88333,631
15.89167,616
15.9,599
15.90833,582
15.91667,564
15.925,547
15.93333,529
15.94167,511
15.95,493
15.95833,474
15.96667,456
15.975,437
15.98333,419
15.99167,400
16.0,382
