time,signal
12.0,-7
12.00833,-7
12.01667,-7
12.025,-7
12.03333,-7
12.04167,-7
12.05,-7
12.05833,-7
12.06667,-6
12.075,-6
12.08333,-6
12.09167,-5
12.1,-5
12.10833,-4
12.11667,-4
12.125,-4
12.13333,-4
12.14167,-3
12.15,-4
12.15833,-3
12.16667,-3
12.175,-3
12.18333,-2
12.19167,-2
12.2,-1
12.20833,-1
12.21667,-2
12.225,-2
12.23333,-2
12.24167,-2
12.25,-2
12.25833,-2
12.26667,-1
12.275,-1
12.28333,0
12.29167,0
12.3,0
12.30833,0
12.31667,1
12.325,1
12.33333,1
12.34167,1
12.35,1
12.35833,1
12.36667,1
12.375,1
12.38333,1
12.39167,2
12.4,2
12.40833,2
12.41667,2
12.425,2
12.43333,2
12.44167,2
12.45,2
12.45833,2
12.46667,2
12.475,2
12.48333,2
12.49167,2
12.5,2
12.50833,2
12.51667,2
12.525,2
12.53333,2
12.54167,2
12.55,2
12.55833,3
12.56667,3
12.575,3
12.58333,3
12.59167,3
12.6,3
12.60833,2
12.61667,2
12.625,2
12.63333,2
12.64167,2
12.65,2
12.65833,3
12.66667,3
12.675,3
12.68333,3
12.69167,3
12.7,3
12.70833,3
12.71667,3
12.725,3
12.73333,3
12.74167,3
12.75,3
12.75833,3
12.76667,3
12.775,4
12.78333,3
12.79167,3
12.8,3
12.80833,3
12.81667,4
12.825,4
12.83333,4
12.84167,4
12.85,5
12.85833,5
12.86667,6
12.875,6
12.88333,5
12.89167,5
12.9,5
12.90833,5
12.91667,5
12.925,5
12.93333,6
12.94167,6
12.95,6
12.95833,6
12.96667,6
12.975,6
12.98333,6
12.99167,6
13.0,5
13.00833,5
13.01667,5
13.025,6
13.03333,6
13.04167,6
13.05,6
13.05833,6
13.06667,6
13.075,7
13.08333,7
13.09167,7
13.1,8
13.10833,8
13.11667,9
13.125,11
13.13333,12
13.14167,14
13.15,17
13.15833,20
13.16667,24
13.175,29
13.18333,36
13.19167,44
13.2,54
13.20833,67
13.21667,81
13.225,99
13.23333,120
13.24167,146
13.25,176
13.25833,211
13.26667,253
13.275,302
13.28333,359
13.29167,424
13.3,499
13.30833,585
13.31667,681
13.325,790
13.33333,913
13.34167,1049
13.35,1200
13.35833,1367
13.36667,1551
13.375,1752
13.38333,1970
13.39167,2207
13.4,2461
13.40833,2733
13.41667,3023
13.425,3331
13.43333,3656
13.44167,3998
13.45,4355
13.45833,4726
13.46667,5111
13.475,5508
13.48333,5915
13.49167,6331
13.5,6753
13.50833,7180
13.51667,7609
13.525,8039
13.53333,8467
13.54167,8892
13.55,9310
13.55833,9721
13.56667,10121
13.575,10508
13.58333,10881
13.59167,11237
13.6,11575
13.60833,11892
13.61667,12187
13.625,12460
13.63333,12707
13.64167,12930
13.65,13125
13.65833,13294
13.66667,13434
13.675,13545
13.68333,13628
13.69167,13681
13.7,13705
13.70833,13701
13.71667,13669
13.725,13609
13.73333,13522
13.74167,13408
13.75,13270
13.75833,13107
13.76667,12922
13.775,12715
13.78333,12487
13.79167,12241
13.8,11977
13.80833,11698
13.81667,11404
13.825,11099
13.83333,10782
13.84167,10455
13.85,10121
13.85833,9782
13.86667,9437
13.875,9090
13.88333,8741
13.89167,8391
13.9,8044
13.90833,7699
13.91667,7358
13.925,7021
13.93333,6691
13.94167,6367
13.95,6051
13.95833,5743
13.96667,5444
13.975,5153
13.98333,4872
13.99167,4602
14.0,4342
14.00833,4091
14.01667,3852
14.025,3624
14.03333,3406
14.04167,3198
14.05,3001
14.05833,2814
14.06667,2637
14.075,2470
14.08333,2312
14.09167,2163
14.1,2024
14.10833,1893
14.11667,1770
14.125,1655
14.13333,1547
14.14167,1446
14.15,1352
14.15833,1265
14.16667,1183
14.175,1106
14.18333,1036
14.19167,970
14.2,909
14.20833,853
14.21667,800
14.225,751
14.23333,706
14.24167,665
14.25,626
14.25833,590
14.26667,557
14.275,527
14.28333,498
14.29167,472
14.3,448
14.30833,425
14.31667,404
14.325,384
14.33333,366
14.34167,349
14.35,334
14.35833,319
14.36667,306
14.375,293
14.38333,281
14.39167,270
14.4,260
14.40833,250
14.41667,240
14.425,232
14.43333,224
14.44167,217
14.45,210
14.45833,203
14.46667,197
