time,signal
12.0,-11
12.00833,-11
12.01667,-10
12.025,-10
12.03333,-10
12.04167,-10
12.05,-10
12.05833,-10
12.06667,-10
12.075,-9
12.08333,-9
12.09167,-9
12.1,-8
12.10833,-8
12.11667,-8
12.125,-8
12.13333,-8
12.14167,-7
12.15,-7
12.15833,-7
12.16667,-7
12.175,-7
12.18333,-7
12.19167,-6
12.2,-6
12.20833,-6
12.21667,-5
12.225,-5
12.23333,-5
12.24167,-5
12.25,-5
12.25833,-5
12.26667,-6
12.275,-6
12.28333,-6
12.29167,-6
12.3,-6
12.30833,-6
12.31667,-6
12.325,-6
12.33333,-6
12.34167,-6
12.35,-6
12.35833,-6
12.36667,-6
12.375,-6
12.38333,-5
12.39167,-5
12.4,-5
12.40833,-4
12.41667,-4
12.425,-3
12.43333,-3
12.44167,-3
12.45,-3
12.45833,-3
12.46667,-3
12.475,-3
12.48333,-3
12.49167,-3
12.5,-3
12.50833,-3
12.51667,-3
12.525,-3
12.53333,-3
12.54167,-3
12.55,-3
12.55833,-2
12.56667,-3
12.575,-2
12.58333,-2
12.59167,-2
12.6,-2
12.60833,-2
12.61667,-2
12.625,-2
12.63333,-2
12.64167,-2
12.65,-2
12.65833,-2
12.66667,-2
12.675,-2
12.68333,-2
12.69167,-2
12.7,-2
12.70833,-2
12.71667,-1
12.725,-1
12.73333,-1
12.74167,-1
12.75,-1
12.75833,0
12.76667,0
12.775,0
12.78333,0
12.79167,0
12.8,0
12.80833,0
12.81667,0
12.825,-1
12.83333,0
12.84167,0
12.85,0
12.85833,0
12.86667,0
12.875,0
12.88333,0
12.89167,1
12.9,1
12.90833,1
12.91667,1
12.925,1
12.93333,1
12.94167,1
12.95,1
12.95833,1
12.96667,1
12.975,1
12.98333,1
12.99167,1
13.0,1
13.00833,1
13.01667,1
13.025,1
13.03333,1
13.04167,1
13.05,1
13.05833,1
13.06667,1
13.075,1
13.08333,1
13.09167,1
13.1,2
13.10833,2
13.11667,2
13.125,3
13.13333,3
13.14167,3
13.15,4
13.15833,5
13.16667,6
13.175,7
13.18333,8
13.19167,10
13.2,11
13.20833,14
13.21667,17
13.225,21
13.23333,26
13.24167,31
13.25,38
13.25833,45
13.26667,54
13.275,64
13.28333,76
13.29167,90
13.3,106
13.30833,124
13.31667,145
13.325,168
13.33333,194
13.34167,223
13.35,255
13.35833,290
13.36667,329
13.375,371
13.38333,417
13.39167,467
13.4,520
13.40833,578
13.41667,639
13.425,703
13.43333,772
13.44167,844
13.45,919
13.45833,997
13.46667,1077
13.475,1160
13.48333,1245
13.49167,1332
13.5,1420
13.50833,1509
13.51667,1599
13.525,1689
13.53333,1778
