time,signal
12.0,-8
12.00833,-8
12.01667,-7
12.025,-7
12.03333,-7
12.04167,-7
12.05,-8
12.05833,-8
12.06667,-8
12.075,-8
12.08333,-7
12.09167,-7
12.1,-7
12.10833,-7
12.11667,-7
12.125,-6
12.13333,-6
12.14167,-6
12.15,-6
12.15833,-6
12.16667,-5
12.175,-5
12.18333,-5
12.19167,-5
12.2,-5
12.20833,-4
12.21667,-3
12.225,-3
12.23333,-3
12.24167,-4
12.25,-3
12.25833,-4
12.26667,-4
12.275,-4
12.28333,-4
12.29167,-3
12.3,-3
12.30833,-3
12.31667,-2
12.325,-2
12.33333,-2
12.34167,-2
12.35,-2
12.35833,-2
12.36667,-2
12.375,-2
12.38333,-2
12.39167,-2
12.4,-2
12.40833,-2
12.41667,-2
12.425,-2
12.43333,-2
12.44167,-1
12.45,-1
12.45833,-1
12.46667,-1
12.475,-1
12.48333,-1
12.49167,-1
12.5,-1
12.50833,-1
12.51667,-1
12.525,-1
12.53333,-1
12.54167,-1
12.55,-1
12.55833,-1
12.56667,-1
12.575,0
12.58333,0
12.59167,0
12.6,0
12.60833,0
12.61667,0
12.625,0
12.63333,-1
12.64167,-1
12.65,-1
12.65833,-1
12.66667,-1
12.675,-1
12.68333,-1
12.69167,0
12.7,0
12.70833,0
12.71667,0
12.725,0
12.73333,0
12.74167,0
12.75,-1
12.75833,-1
12.76667,-1
12.775,0
12.78333,0
12.79167,1
12.8,1
12.80833,1
12.81667,1
12.825,1
12.83333,1
12.84167,0
12.85,0
12.85833,0
12.86667,1
12.875,1
12.88333,2
12.89167,2
12.9,2
12.90833,2
12.91667,2
12.925,2
12.93333,2
12.94167,2
12.95,2
12.95833,3
12.96667,3
12.975,3
12.98333,3
12.99167,3
13.0,3
13.00833,3
13.01667,3
13.025,3
13.03333,3
13.04167,3
13.05,3
13.05833,2
13.06667,2
13.075,2
13.08333,2
13.09167,3
13.1,3
13.10833,3
13.11667,4
13.125,4
13.13333,4
13.14167,5
13.15,6
13.15833,7
13.16667,8
13.175,9
13.18333,11
13.19167,14
13.2,17
13.20833,21
13.21667,26
13.225,32
13.23333,39
13.24167,46
13.25,56
13.25833,67
13.26667,80
13.275,95
13.28333,112
13.29167,132
13.3,156
13.30833,182
13.31667,212
13.325,246
13.33333,284
13.34167,326
13.35,373
13.35833,425
13.36667,482
13.375,544
13.38333,612
13.39167,684
13.4,762
13.40833,846
13.41667,935
13.425,1030
13.43333,1130
13.44167,1235
13.45,1344
